name,address,coordinates,rating,reviews,categories,avg_bill,cuisine,assortment,photo_url,route_duration
"Хачапури и вино, кафе грузинской кухни","улица Некрасова, 60","{'lat': 59.938927, 'lon': 30.369815}",4.2,130.0,['Кафе'],Средний чек 900 ₽,['Грузинская кухня'],"['Хинкали', 'Салаты', 'Хачапури', 'Супы']","['https://i1.photo.2gis.com/main/branch/38/70000001064301781/common', 'https://i2.photo.2gis.com/main/geo/38/5348660212707929/view']",2.4
"Nebar, бар","Литейный проспект, 57","{'lat': 59.93484, 'lon': 30.347761}",4.6,1171.0,"['Кафе', 'Бары', 'Ночные клубы', 'Караоке-залы']",Средний чек 1500 ₽,['Европейская кухня'],"['Бургеры', 'Салаты']","['https://i9.photo.2gis.com/main/branch/38/5348552838775231/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212693072/view']",20.8
"Старик Хинкалыч, кафе","Гончарная, 11","{'lat': 59.929564, 'lon': 30.364879}",4.1,391.0,['Кафе'],Средний чек 500 ₽,"['Грузинская кухня', 'Кавказская кухня']","['Хинкали', 'Салаты', 'Хачапури', 'Супы']","['https://i1.photo.2gis.com/main/branch/38/70000001060075387/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212713720/view']",16.6
"Хачапури и вино, кафе грузинской кухни","Маяковского, 54-56","{'lat': 59.943565, 'lon': 30.355265}",3.8,374.0,"['Кафе', 'Доставка еды']",Средний чек 900 ₽,['Грузинская кухня'],"['Хинкали', 'Салаты', 'Хачапури', 'Супы']","['https://i3.photo.2gis.com/main/branch/38/70000001021314683/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212693013/view']",13.0
"HopHead Taqueria, мексиканский бар","Виленский переулок, 6","{'lat': 59.940296, 'lon': 30.362351}",4.5,45.0,"['Кафе', 'Бары']",Средний чек 1000 ₽,"['Мексиканская кухня', 'Авторская кухня']",,"['https://i9.photo.2gis.com/main/branch/38/70000001088735793/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212706179/view']",4.6
"Italiani, ресторан","Невский проспект, 65","{'lat': 59.931805, 'lon': 30.353427}",4.3,607.0,"['Кафе', 'Рестораны']",Средний чек 1000 ₽,['Итальянская кухня'],"['Пицца', 'Салаты', 'Супы', 'Римская пицца']","['https://i8.photo.2gis.com/main/branch/38/70000001033043004/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212721461/view']",19.0
"Kimchi to go, кафе корейской кухни","Литейный проспект, 47","{'lat': 59.937989, 'lon': 30.347967}",4.7,505.0,"['Кафе', 'Быстрое питание']",Средний чек 450 ₽,['Корейская кухня'],"['Лапша wok', 'Рамен', 'Рис wok', 'Том-Ям', 'Салаты', 'Супы', 'Куриные крылышки', 'Гёдза']","['https://i1.photo.2gis.com/main/branch/38/70000001065258055/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212693242/view']",16.4
"Корчма сало, ресторан","Литейный проспект, 36","{'lat': 59.93915, 'lon': 30.348586}",4.3,465.0,"['Кафе', 'Рестораны', 'Доставка еды']",Средний чек 1500 ₽,['Украинская кухня'],"['Шашлык', 'Пельмени', 'Салаты', 'Вареники', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Колбаски']","['https://i2.photo.2gis.com/main/branch/38/5348552838504322/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212701370/view']",14.7
"Пробка, бар","Жуковского, 21","{'lat': 59.935808, 'lon': 30.353893}",4.8,177.0,"['Кафе', 'Бары', 'Доставка еды']",Средний чек 1500 ₽,['Американская кухня'],"['Бургеры', 'Стейки', 'Салаты', 'Блюда на гриле', 'Куриные крылышки']","['https://i0.photo.2gis.com/main/branch/38/70000001045738231/common', 'https://i2.photo.2gis.com/main/geo/38/5348660212703538/view']",15.8
"Сиртаки, греческая таверна","Невский проспект, 102","{'lat': 59.931805, 'lon': 30.356301}",4.4,656.0,"['Кафе', 'Доставка еды', 'Рестораны']",Средний чек 1500 ₽,"['Европейская кухня', 'Греческая кухня', 'Средиземноморская кухня']","['Шаурма', 'Пицца', 'Шашлык', 'Бургеры', 'Гирос', 'Стейки', 'Люля-кебаб', 'Сувлаки', 'Салаты', 'Закрытая пицца', 'Хачапури', 'Супы', 'Римская пицца', 'Пита', 'Блюда на гриле', 'Буррито', 'Куриные крылышки', 'Фиш энд чипс', 'Наггетсы', 'Кесадилья', 'Боулы', 'Колбаски', 'Мидии']","['https://i7.photo.2gis.com/main/branch/38/70000001030957536/common', 'https://i3.photo.2gis.com/main/geo/38/5348660212703151/view']",17.0
"Amarcord, кафе итальянской кухни","Жуковского, 49","{'lat': 59.935719, 'lon': 30.359389}",4.8,131.0,['Кафе'],Средний чек 1500 ₽,['Итальянская кухня'],"['Салаты', 'Супы']","['https://i9.photo.2gis.com/main/branch/38/5348553838597252/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212702880/view']",12.2
"Dead poets, интеллигентный бар","Жуковского, 12","{'lat': 59.936055, 'lon': 30.353077}",3.8,153.0,"['Кафе', 'Бары']",Средний чек 1700 ₽,"['Азиатская кухня', 'Европейская кухня', 'Авторская кухня']","['Бургеры', 'Лапша wok', 'Стейки', 'Салаты', 'Супы', 'Блюда на гриле', 'Фиш энд чипс']","['https://i0.photo.2gis.com/main/branch/38/5348553838745409/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212699278/view']",15.6
"Pinch!, кафе-бар","улица Белинского, 5","{'lat': 59.938131, 'lon': 30.34562}",4.0,171.0,"['Кафе', 'Бары']",Средний чек 1500 ₽,"['Итальянская кухня', 'Европейская кухня', 'Испанская кухня']","['Стейки', 'Салаты', 'Супы', 'Блюда на гриле', 'Мидии']","['https://i4.photo.2gis.com/main/branch/38/70000001022372188/common', 'https://i2.photo.2gis.com/main/geo/38/5348660212693237/view']",17.8
Пешеход,"Маяковского, 54-56","{'lat': 59.943632, 'lon': 30.35527}",4.8,222.0,"['Кафе', 'Кофейни']",Средний чек 700 ₽,['Европейская кухня'],"['Салаты', 'Супы']","['https://i7.photo.2gis.com/main/branch/38/70000001060842604/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212693013/view']",13.0
"Деда хинкали, ресторан грузинской кухни","Литейный проспект, 64","{'lat': 59.933331, 'lon': 30.348216}",4.9,2279.0,"['Кафе', 'Доставка еды', 'Рестораны']",Средний чек 1300 ₽,"['Грузинская кухня', 'Кавказская кухня', 'Европейская кухня']","['Хинкали', 'Люля-кебаб', 'Салаты', 'Хачапури', 'Супы', 'Блюда на гриле']","['https://i0.photo.2gis.com/main/branch/38/70000001037775699/common', 'https://i6.photo.2gis.com/main/geo/38/5348660212704096/view']",22.5
"Harat`s, ирландский паб","Невский проспект, 109","{'lat': 59.929015, 'lon': 30.369839}",4.2,159.0,"['Кафе', 'Бары']",Средний чек 600 ₽,['Европейская кухня'],"['Супы', 'Блюда на гриле', 'Начос', 'Колбаски']","['https://i1.photo.2gis.com/main/branch/38/5348553838490001/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212712612/view']",18.3
Кофейня №1,"Лиговский проспект, 57-59","{'lat': 59.92819, 'lon': 30.358785}",4.1,694.0,"['Кафе', 'Доставка еды']",Средний чек 1000 ₽,['Европейская кухня'],"['Пицца', 'Пельмени', 'Стейки', 'Салаты', 'Хачапури', 'Вареники', 'Супы', 'Кесадилья']","['https://i6.photo.2gis.com/main/branch/38/70000001029517153/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212722484/view']",18.5
"На парах, ресторан здорового питания","улица Марата, 16","{'lat': 59.928678, 'lon': 30.353995}",4.6,664.0,"['Кафе', 'Доставка еды', 'Рестораны']",Средний чек 900 ₽,['Европейская кухня'],"['Пельмени', 'Поке', 'Манты', 'Стейки', 'Салаты', 'Вареники', 'Супы', 'Боулы', 'Гёдза']","['https://i1.photo.2gis.com/main/branch/38/70000001020162355/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212725381/view']",21.2
"Grand Cafe Frida, уютное мексиканское кафе","Чайковского, 57","{'lat': 59.946325, 'lon': 30.358395}",4.6,176.0,"['Кафе', 'Доставка еды']",Средний чек 1700 ₽,"['Мексиканская кухня', 'Европейская кухня']","['Стейки', 'Салаты', 'Супы', 'Буррито', 'Куриные крылышки', 'Начос', 'Кесадилья']","['https://i5.photo.2gis.com/main/branch/38/5348552838580376/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212690886/view']",14.7
"ПхалиХинкали, ресторан грузинской кухни","8-я Советская улица, 14","{'lat': 59.937053, 'lon': 30.373118}",4.4,474.0,"['Кафе', 'Рестораны', 'Доставка еды']",Средний чек 1350 ₽,['Грузинская кухня'],"['Шаурма', 'Пицца', 'Шашлык', 'Хинкали', 'Люля-кебаб', 'Салаты', 'Хачапури', 'Супы', 'Блюда на гриле']","['https://i4.photo.2gis.com/main/branch/38/70000001038087414/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212708338/view']",6.0
"Пицца 22 сантиметра, пиццерия","Жуковского, 45","{'lat': 59.935735, 'lon': 30.358366}",4.1,202.0,"['Пиццерии', 'Доставка еды', 'Быстрое питание']",Средний чек 900 ₽,['Итальянская кухня'],"['Пицца', 'Пицца на дровах']","['https://i5.photo.2gis.com/main/branch/38/70000001018980103/common', 'https://i3.photo.2gis.com/main/geo/38/5348660212702891/view']",12.8
"Amici Бар, итальянская рюмочная и пиццерия","улица Некрасова, 39","{'lat': 59.938599, 'lon': 30.363633}",4.6,64.0,"['Пиццерии', 'Кафе', 'Рестораны']",Средний чек 1000 ₽,['Итальянская кухня'],"['Пицца', 'Римская пицца']","['https://i1.photo.2gis.com/main/branch/38/70000001061527081/common', 'https://i2.photo.2gis.com/main/geo/38/5348660212705493/view']",5.7
"Pinzeria by bontempi, ресторан","улица Марата, 2","{'lat': 59.931229, 'lon': 30.35564}",4.8,377.0,"['Пиццерии', 'Рестораны', 'Доставка еды']",Средний чек 1500 ₽,['Итальянская кухня'],"['Пицца', 'Римская пицца']","['https://i6.photo.2gis.com/main/branch/38/70000001054285861/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212725440/view']",18.0
"Ponte, траттория","улица Пестеля, 13-15","{'lat': 59.94248, 'lon': 30.342834}",4.7,381.0,"['Пиццерии', 'Доставка еды', 'Кафе']",Средний чек 1000 ₽,['Итальянская кухня'],"['Пицца', 'Римская пицца']","['https://i8.photo.2gis.com/main/branch/38/70000001060842704/common', 'https://i2.photo.2gis.com/main/geo/38/5348660212697675/view']",19.5
"Додо Пицца, пиццерия","Литейный проспект, 46","{'lat': 59.937836, 'lon': 30.348502}",3.5,165.0,"['Пиццерии', 'Доставка еды', 'Быстрое питание']",Средний чек 500 ₽,['Итальянская кухня'],['Пицца'],"['https://i0.photo.2gis.com/main/branch/38/70000001044583472/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212700366/view']",16.4
"Pizzeria da Vincenzo, пиццерия","Короленко, 3","{'lat': 59.939322, 'lon': 30.350377}",4.7,99.0,"['Пиццерии', 'Доставка еды', 'Кафе']",Средний чек 1500 ₽,['Итальянская кухня'],"['Пицца', 'Закрытая пицца']","['https://i3.photo.2gis.com/main/branch/38/70000001045425930/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212701166/view']",13.2
"Crispy pizza, пиццерия","Литейный проспект, 38","{'lat': 59.938747, 'lon': 30.34856}",4.8,94.0,"['Пиццерии', 'Быстрое питание']",Средний чек 950 ₽,['Итальянская кухня'],['Пицца'],"['https://i4.photo.2gis.com/main/branch/38/70000001078258128/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212700439/view']",15.2
"Roma Antica, кафе","Чайковского, 56","{'lat': 59.94653, 'lon': 30.365447}",4.7,92.0,"['Пиццерии', 'Кафе', 'Доставка еды', 'Рестораны']",Средний чек 1200 ₽,['Итальянская кухня'],['Пицца'],"['https://i6.photo.2gis.com/main/branch/38/70000001040442218/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212707595/view']",11.9
"Додо Пицца, пиццерия","Суворовский проспект, 56","{'lat': 59.945014, 'lon': 30.38672}",3.9,195.0,"['Пиццерии', 'Доставка еды', 'Быстрое питание']",Средний чек 500 ₽,['Итальянская кухня'],['Пицца'],"['https://i5.photo.2gis.com/main/branch/38/70000001036785083/common', 'https://i3.photo.2gis.com/main/geo/38/5348660212709852/view']",17.3
"Liman, кафе","Восстания, 33","{'lat': 59.938608, 'lon': 30.360663}",4.5,283.0,"['Пиццерии', 'Кафе']",Средний чек 1500 ₽,['Итальянская кухня'],"['Пицца', 'Закрытая пицца']","['https://i9.photo.2gis.com/main/branch/38/70000001022119353/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212705437/view']",7.7
"Pret, пиццерия","8-я Советская улица, 17-19","{'lat': 59.936727, 'lon': 30.373278}",3.5,136.0,"['Пиццерии', 'Кафе']",Средний чек 360 ₽,['Итальянская кухня'],"['Пицца', 'Римская пицца']","['https://i9.photo.2gis.com/main/branch/38/70000001042781400/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212707991/view']",6.5
"Pizza allegro, пиццерия","2-я Советская улица, 25/2","{'lat': 59.931085, 'lon': 30.369903}",4.6,193.0,"['Пиццерии', 'Доставка еды', 'Кафе']",Средний чек 400 ₽,['Итальянская кухня'],['Пицца'],"['https://i0.photo.2gis.com/main/branch/38/5348553838674084/common', 'https://i3.photo.2gis.com/main/geo/38/5348660212705492/view']",15.1
"Joy`s pizza, пиццерия","Фурштатская улица, 3","{'lat': 59.945149, 'lon': 30.349983}",4.4,188.0,"['Пиццерии', 'Доставка еды', 'Кафе']",Средний чек 400 ₽,['Итальянская кухня'],['Пицца'],"['https://i7.photo.2gis.com/main/branch/38/5348552838480166/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212691922/view']",18.2
"Береза и базилик, пиццерия","Кирочная улица, 47","{'lat': 59.942694, 'lon': 30.379429}",4.4,75.0,"['Пиццерии', 'Доставка еды', 'Кафе']",Средний чек 500 ₽,['Итальянская кухня'],"['Пицца', 'Закрытая пицца']","['https://i4.photo.2gis.com/main/branch/38/70000001032018612/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212708675/view']",10.7
"Pizza Point, пиццерия","Маяковского, 44 лит А","{'lat': 59.941453, 'lon': 30.355122}",4.2,133.0,"['Пиццерии', 'Доставка еды', 'Быстрое питание']",Средний чек 900 ₽,['Итальянская кухня'],"['Пицца', 'Римская пицца']","['https://i2.photo.2gis.com/main/branch/38/70000001047991623/common', 'https://i3.photo.2gis.com/main/geo/38/5348660212701838/view']",11.1
"Liman, кафе","Захарьевская улица, 27","{'lat': 59.947579, 'lon': 30.360443}",4.3,118.0,"['Пиццерии', 'Рестораны', 'Доставка еды']",Средний чек 1000 ₽,['Итальянская кухня'],"['Пицца', 'Закрытая пицца']","['https://i5.photo.2gis.com/main/branch/38/70000001025415270/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212707619/view']",16.4
"Mercato d`Italia, пиццерия","Лиговский проспект, 30","{'lat': 59.927951, 'lon': 30.360358}",3.1,53.0,"['Пиццерии', 'Быстрое питание']",Средний чек 900 ₽,['Итальянская кухня'],['Пицца'],['https://i1.photo.2gis.com/main/branch/38/70000001057573946/common'],19.4
Pizzarella Bar,"Лиговский проспект, 30","{'lat': 59.927076, 'lon': 30.361067}",4.2,5.0,"['Пиццерии', 'Быстрое питание']",Средний чек 350 ₽,['Итальянская кухня'],['Пицца'],['https://i7.photo.2gis.com/main/branch/38/70000001089768385/common'],20.6
"Kimchi to go, кафе корейской кухни","Литейный проспект, 47","{'lat': 59.937989, 'lon': 30.347967}",4.7,505.0,"['Быстрое питание', 'Кафе']",Средний чек 450 ₽,['Корейская кухня'],"['Лапша wok', 'Рамен', 'Рис wok', 'Том-Ям', 'Салаты', 'Супы', 'Куриные крылышки', 'Корн-дог', 'Гёдза']","['https://i1.photo.2gis.com/main/branch/38/70000001065258055/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212693242/view']",16.4
"Koreana light, ресторан корейского стритфуда","Невский проспект, 95","{'lat': 59.930167, 'lon': 30.366588}",4.7,888.0,"['Быстрое питание', 'Доставка еды']",Средний чек 650 ₽,['Корейская кухня'],"['Лапша wok', 'Рамен', 'Рис wok', 'Том-Ям', 'Салаты', 'Онигири', 'Супы', 'Кукси']","['https://i7.photo.2gis.com/main/branch/38/70000001031639873/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212712727/view']",15.9
Technodoner,"улица Некрасова, 28","{'lat': 59.93889, 'lon': 30.357671}",4.3,62.0,"['Быстрое питание', 'Бары']",Средний чек 800 ₽,['Немецкая кухня'],"['Картофель-фри', 'Колбаски']","['https://i9.photo.2gis.com/main/branch/38/70000001074896460/common', 'https://i3.photo.2gis.com/main/geo/38/5348660212697485/view']",9.2
"Ramen Slurp Bar, раменная","Жуковского, 31","{'lat': 59.935771, 'lon': 30.356185}",3.9,261.0,"['Быстрое питание', 'Доставка еды']",Средний чек 400 ₽,"['Японская кухня', 'Паназиатская кухня']","['Лапша wok', 'Рамен', 'Рис wok', 'Салаты', 'Сэндвичи', 'Супы', 'Гёдза']","['https://i7.photo.2gis.com/main/branch/38/70000001037187057/common', 'https://i6.photo.2gis.com/main/geo/38/5348660212702926/view']",14.2
"Babaganoush, кафе израильской кухни","Восстания, 19","{'lat': 59.93515, 'lon': 30.360435}",4.5,163.0,"['Быстрое питание', 'Доставка еды']",Средний чек 950 ₽,"['Восточная кухня', 'Израильская кухня']","['Шаурма', 'Фалафель', 'Картофель-фри', 'Салаты', 'Сэндвичи', 'Супы', 'Пита', 'Блюда на гриле']","['https://i0.photo.2gis.com/main/branch/38/70000001034580470/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212704385/view']",12.2
"Kimchi to go, кафе корейской кухни","Лиговский проспект, 30 лит А","{'lat': 59.927247, 'lon': 30.360498}",4.8,332.0,['Быстрое питание'],Средний чек 600 ₽,['Корейская кухня'],"['Лапша wok', 'Рамен', 'Рис wok', 'Том-Ям', 'Супы', 'Куриные крылышки']",['https://i5.photo.2gis.com/main/branch/38/70000001068447955/common'],20.6
Ramen Rebel,"Литейный проспект, 62","{'lat': 59.933559, 'lon': 30.348821}",4.6,26.0,"['Быстрое питание', 'Доставка еды']",Средний чек 600 ₽,['Азиатская кухня'],"['Лапша wok', 'Рамен', 'Том-Ям']",['https://i0.photo.2gis.com/main/branch/38/70000001083019590/common'],22.5
"Теремок, ресторан домашней кухни","Лиговский проспект, 30","{'lat': 59.9273, 'lon': 30.359894}",4.2,276.0,"['Быстрое питание', 'Доставка еды', 'Кафе']",Средний чек 350 ₽,['Русская кухня'],"['Салаты', 'Вареники', 'Супы']",['https://i6.photo.2gis.com/main/branch/38/5348552839093366/common'],20.2
"Теремок, ресторан домашней кухни","Невский проспект, 93","{'lat': 59.93028, 'lon': 30.365952}",3.7,183.0,"['Быстрое питание', 'Доставка еды']",Средний чек 500 ₽,['Русская кухня'],"['Пельмени', 'Салаты', 'Супы']","['https://i4.photo.2gis.com/main/branch/38/5348552839936551/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212711976/view']",16.2
"Турбо Шаверма, бистро","Литейный проспект, 53","{'lat': 59.936019, 'lon': 30.34784}",3.9,170.0,"['Быстрое питание', 'Доставка еды']",Средний чек 400 ₽,['Восточная кухня'],"['Шаурма', 'Картофель-фри', 'Салаты', 'Наггетсы']","['https://i5.photo.2gis.com/main/branch/38/70000001032403820/common', 'https://i2.photo.2gis.com/main/geo/38/5348660212693138/view']",19.6
"Bros Burritos, ресторан быстрого питания","Пушкинская улица, 3","{'lat': 59.930588, 'lon': 30.35744}",4.7,239.0,"['Быстрое питание', 'Кафе', 'Доставка еды']",Средний чек 500 ₽,['Мексиканская кухня'],"['Салаты', 'Супы', 'Буррито', 'Начос', 'Кесадилья']","['https://i1.photo.2gis.com/main/branch/38/70000001060879763/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212725453/view']",17.4
"Теремок, ресторан домашней кухни","Невский проспект, 114-116","{'lat': 59.932502, 'lon': 30.358933}",4.2,157.0,"['Быстрое питание', 'Доставка еды']",Средний чек 300 ₽,['Русская кухня'],"['Пельмени', 'Салаты', 'Вареники', 'Супы']",['https://i5.photo.2gis.com/main/branch/38/5348552839114420/common'],15.0
"Green point, фастфуд здорового питания","Лиговский проспект, 30 лит А","{'lat': 59.927679, 'lon': 30.360087}",4.8,93.0,"['Быстрое питание', 'Доставка еды']",Средний чек 550 ₽,"['Веганская кухня', 'Вегетарианская кухня']","['Шаурма', 'Бургеры', 'Картофель-фри', 'Салаты', 'Супы', 'Наггетсы', 'Бутерброды', 'Боулы']",['https://i5.photo.2gis.com/main/branch/38/70000001083226432/common'],19.7
"Ramen Rebel, такерия","Литейный проспект, 62","{'lat': 59.933559, 'lon': 30.348821}",4.8,20.0,"['Быстрое питание', 'Доставка еды']",Средний чек 500 ₽,['Мексиканская кухня'],"['Картофель-фри', 'Кесадилья', 'Боулы']",['https://i3.photo.2gis.com/main/branch/38/70000001076213476/common'],22.5
"Теремок, ресторан домашней кухни","проспект Чернышевского, 11","{'lat': 59.94588, 'lon': 30.358969}",3.3,107.0,"['Быстрое питание', 'Доставка еды']",Средний чек 450 ₽,['Русская кухня'],"['Пельмени', 'Салаты', 'Вареники', 'Супы']","['https://i1.photo.2gis.com/main/branch/38/5348552840850502/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212690886/view']",13.7
"Пирожковая, кафе быстрого обслуживания","Восстания, 1","{'lat': 59.931972, 'lon': 30.360461}",4.5,224.0,"['Быстрое питание', 'Пекарни']",Средний чек 380 ₽,"['Русская кухня', 'Домашняя кухня']","['Чебуреки', 'Пельмени', 'Пышки', 'Самса', 'Лагман', 'Беляши', 'Салаты', 'Супы']","['https://i8.photo.2gis.com/main/branch/38/5348552838596549/common', 'https://i6.photo.2gis.com/main/geo/38/5348660212703705/view']",14.3
"joly woо, стритфуд-кафе паназиатской кухни","Восстания, 12","{'lat': 59.936252, 'lon': 30.360044}",4.5,384.0,"['Быстрое питание', 'Кафе', 'Доставка еды']",Средний чек 750 ₽,"['Вьетнамская кухня', 'Азиатская кухня', 'Паназиатская кухня']","['Шаурма', 'Лапша wok', 'Рамен', 'Рис wok', 'Том-Ям', 'Фо-бо', 'Салаты', 'Супы', 'Кукси']","['https://i9.photo.2gis.com/main/branch/38/70000001023257115/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212699003/view']",10.4
"Теремок, ресторан домашней кухни","Литейный проспект, 22","{'lat': 59.943041, 'lon': 30.348833}",4.0,211.0,"['Быстрое питание', 'Доставка еды']",Средний чек 350 ₽,['Русская кухня'],"['Пельмени', 'Салаты', 'Супы']",['https://i8.photo.2gis.com/main/branch/38/5348552839936560/common'],15.9
"Bros Burritos, ресторан быстрого питания","Моховая, 26","{'lat': 59.941821, 'lon': 30.345465}",4.4,277.0,"['Быстрое питание', 'Кафе', 'Доставка еды']",Средний чек 450 ₽,['Мексиканская кухня'],"['Салаты', 'Супы', 'Буррито', 'Начос', 'Кесадилья']","['https://i9.photo.2gis.com/main/branch/38/70000001030546662/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212695744/view']",18.9
"Шеф-шаверма, бистро-бар","Суворовский проспект, 43-45","{'lat': 59.939622, 'lon': 30.377563}",4.0,203.0,"['Быстрое питание', 'Доставка еды']",Средний чек 400 ₽,['Восточная кухня'],"['Шаурма', 'Картофель-фри', 'Салаты', 'Куриные крылышки', 'Наггетсы', 'Колбаски']","['https://i1.photo.2gis.com/main/branch/38/5348553838504894/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212709939/view']",8.5
"БуфетЪ, кафе","Пушкинская улица, 7","{'lat': 59.929886, 'lon': 30.357061}",4.2,51.0,['Кафе'],Средний чек 800 ₽,['Домашняя кухня'],"['Пельмени', 'Супы', 'Блюда на гриле']","['https://i4.photo.2gis.com/main/branch/38/5348552838596446/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212725462/view']",18.3
"Токио-City, городские рестораны","Невский проспект, 71","{'lat': 59.93138, 'lon': 30.354791}",4.3,1153.0,"['Суши-бары', 'Доставка еды', 'Рестораны']",Средний чек 900 ₽,['Азиатская кухня'],"['Суши', 'Лапша wok', 'Пельмени', 'Рамен', 'Рис wok', 'Поке', 'Стейки', 'Том-Ям', 'Салаты', 'Закрытая пицца', 'Онигири', 'Супы', 'Пита', 'Блюда на гриле', 'Буррито', 'Куриные крылышки', 'Наггетсы', 'Кесадилья']",['https://i7.photo.2gis.com/main/branch/38/70000001047071973/common'],18.7
"Tsunami, азиатский бар","Лиговский проспект, 39/1","{'lat': 59.932138, 'lon': 30.361246}",4.3,211.0,"['Суши-бары', 'Бары', 'Доставка еды', 'Кафе']",Средний чек 2000 ₽,['Азиатская кухня'],"['Суши', 'Рамен', 'Поке', 'Том-Ям', 'Супы', 'Гёдза']","['https://i6.photo.2gis.com/main/branch/38/70000001035822395/common', 'https://i6.photo.2gis.com/main/geo/38/5348660212703705/view']",13.4
"Токио-City, городские рестораны","Невский проспект, 90-92 лит А","{'lat': 59.932334, 'lon': 30.352081}",4.5,1087.0,"['Суши-бары', 'Доставка еды', 'Рестораны']",Средний чек 900 ₽,['Японская кухня'],"['Суши', 'Лапша wok', 'Рис wok', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле']","['https://i3.photo.2gis.com/main/branch/38/70000001021261064/common', 'https://i9.photo.2gis.com/main/geo/38/70030076153476591/view']",19.4
"Kazoku, азиатский ресторан","Кирочная улица, 8а","{'lat': 59.944137, 'lon': 30.352581}",4.8,196.0,"['Суши-бары', 'Рестораны', 'Доставка еды', 'Банкетные залы']",Средний чек 1600 ₽,"['Азиатская кухня', 'Японская кухня']","['Суши', 'Лапша wok', 'Рамен', 'Рис wok', 'Том-Ям', 'Онигири', 'Супы', 'Гёдза']","['https://i9.photo.2gis.com/main/branch/38/70000001060553777/common', 'https://i5.photo.2gis.com/main/geo/38/5348660212692440/view']",15.4
Йоки,"Жуковского, 28","{'lat': 59.935947, 'lon': 30.359771}",4.5,293.0,"['Суши-бары', 'Доставка еды', 'Кафе']",Средний чек 850 ₽,"['Азиатская кухня', 'Японская кухня', 'Паназиатская кухня']","['Суши', 'Лапша wok', 'Рамен', 'Рис wok', 'Поке', 'Том-Ям', 'Салаты', 'Супы', 'Боулы', 'Гёдза']","['https://i2.photo.2gis.com/main/branch/38/70000001033788213/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212699003/view']",10.7
"Токио-City, городские рестораны","Чайковского, 18","{'lat': 59.9467, 'lon': 30.350762}",4.5,710.0,"['Суши-бары', 'Доставка еды', 'Рестораны']",Средний чек 900 ₽,['Японская кухня'],"['Суши', 'Лапша wok', 'Рамен', 'Рис wok', 'Поке', 'Стейки', 'Том-Ям', 'Салаты', 'Супы', 'Блюда на гриле', 'Наггетсы', 'Кесадилья']","['https://i4.photo.2gis.com/main/branch/38/5348552838485481/common', 'https://i8.photo.2gis.com/main/geo/38/5348660212688448/view']",19.6
"Under the sea, ресторан японской кухни","Восстания, 23","{'lat': 59.936316, 'lon': 30.360516}",4.6,106.0,"['Суши-бары', 'Доставка еды', 'Рестораны']",Средний чек 1500 ₽,['Японская кухня'],"['Суши', 'Лапша wok', 'Поке', 'Салаты', 'Онигири']","['https://i0.photo.2gis.com/main/branch/38/70000001039847310/common', 'https://i1.photo.2gis.com/main/geo/38/5348660212704499/view']",9.9
